Country Name,year,Out-of-pocket expenditure (% of current health expenditure),"Mortality rate, infant (per 1,000 live births)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate) Normalized","Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %) Normalized",GDP growth (annual %),GDP growth (annual %) Normalized,GDP growth (annual %) Standardized,Current health expenditure (% of GDP),Current health expenditure (% of GDP) Normalized,Adjusted net national income per capita (current US$)
Afghanistan,2010,2.341652877,1.545177039,-1.279960023,-1.108122202,0.077691538,0.316082934,-0.479615459,0.250241482,14.36244147,0.8358192,2.751646097,1.016956262,0.555079875,-0.675804327
Afghanistan,2011,2.039986382,1.448754374,-1.27063135,-1.041269277,0.084293189,0.317363291,1.086343189,0.376762523,0.426354777,0.405642176,-0.773338157,1.013824156,0.554502377,-0.670093743
Afghanistan,2012,2.104666854,1.356524,-1.261302677,-0.981949076,0.099626055,0.320337023,0.213862323,0.306270759,12.75228709,0.786117197,2.344374747,0.745654271,0.505057188,-0.666460938
Afghanistan,2013,1.976552185,1.272678205,-1.265967013,-0.923805863,0.115384834,0.323393359,0.367528887,0.318686191,5.600744659,0.565364463,0.535468487,1.112281813,0.57265601,-0.667241322
Afghanistan,2014,2.029517504,1.193024699,-1.265967013,-0.908740415,0.112190487,0.322773831,-0.073639184,0.283042183,2.724543362,0.476582315,-0.192035906,1.403920571,0.626428392,-0.669234085
Afghanistan,2015,2.309373571,1.125948063,-1.275295686,-0.89532275,0.354321995,0.369734016,-0.941683959,0.212908831,1.451314661,0.437280483,-0.514085504,1.63648058,0.669307829,-0.671738905
Afghanistan,2016,2.18285553,1.058871427,-1.27063135,-0.839180417,0.584527941,0.414381299,-0.120835069,0.279229009,2.260314203,0.462252559,-0.309457712,2.327639007,0.796743686,-0.67769487
Afghanistan,2017,2.157018055,0.995987081,-1.284624359,-0.853304274,0.808345192,0.457789526,-0.024515243,0.287011133,2.647003203,0.474188817,-0.211648861,2.651274427,0.856415616,-0.676531574
Afghanistan,2018,2.195921984,0.937295024,-1.293953032,-0.845653852,0.81090067,0.458285148,-0.732167384,0.229836644,1.189228129,0.429190436,-0.580377493,3.291746663,0.974505948,-0.679397692
Africa Eastern and Southern,2006,-0.751058746,1.657775937,-1.063128685,-1.778214563,-0.048813477,0.291547924,0.613573962,0.338565311,6.577873718,0.595526336,0.782622844,-0.027350437,0.362530506,-0.635629464
Albania,2000,0.913450245,-0.156892602,0.007396836,0.604748606,2.477710973,0.781554601,-0.825895859,0.222263887,6.946216592,0.606896288,0.875791239,-0.042215709,0.359789646,-0.626195051
Albania,2001,0.772324841,-0.203007789,-0.001931837,0.632407827,2.381241691,0.76284487,-0.328471868,0.262453072,8.293312631,0.648478245,1.216524792,-0.049619497,0.358424534,-0.612458445
Albania,2002,0.863084908,-0.257507556,-0.034582192,0.661950229,2.236644247,0.734800925,0.430123001,0.323743459,4.53652416,0.532514265,0.26628528,-0.154993299,0.338995703,-0.601167651
